127.0.0.1 - - [02/May/2017:09:41:08 -0700] "GET / HTTP/1.1" 404 988
0:0:0:0:0:0:0:1 - - [02/May/2017:09:41:09 -0700] "GET /Cs3220Lab23/Grades.html HTTP/1.1" 200 733
0:0:0:0:0:0:0:1 - - [02/May/2017:09:43:00 -0700] "GET /Cs3220Lab23/Grades.html HTTP/1.1" 200 703
0:0:0:0:0:0:0:1 - - [02/May/2017:09:47:52 -0700] "GET /Cs3220Lab23/Grades.html HTTP/1.1" 200 705
0:0:0:0:0:0:0:1 - - [02/May/2017:09:49:11 -0700] "GET /Cs3220Lab23/Grades.html HTTP/1.1" 200 745
0:0:0:0:0:0:0:1 - - [02/May/2017:09:57:21 -0700] "GET /Cs3220Lab23/Grades.html HTTP/1.1" 200 1065
0:0:0:0:0:0:0:1 - - [02/May/2017:09:57:49 -0700] "GET /Cs3220Lab23/Grades.html HTTP/1.1" 200 1059
0:0:0:0:0:0:0:1 - - [02/May/2017:09:58:28 -0700] "GET /Cs3220Lab23/Grades.html HTTP/1.1" 200 1144
0:0:0:0:0:0:0:1 - - [02/May/2017:10:03:35 -0700] "GET /Cs3220Lab23/Grades.html HTTP/1.1" 200 783
0:0:0:0:0:0:0:1 - - [02/May/2017:10:05:48 -0700] "GET /Cs3220Lab23/Grades.html HTTP/1.1" 200 789
0:0:0:0:0:0:0:1 - - [02/May/2017:10:13:58 -0700] "GET /Cs3220Lab23/Grades.html HTTP/1.1" 200 849
0:0:0:0:0:0:0:1 - - [02/May/2017:10:15:53 -0700] "GET /Cs3220Lab23/Grades.html HTTP/1.1" 200 849
0:0:0:0:0:0:0:1 - - [02/May/2017:10:16:32 -0700] "GET /Cs3220Lab23/Grades.html HTTP/1.1" 200 857
0:0:0:0:0:0:0:1 - - [02/May/2017:10:17:51 -0700] "GET /Cs3220Lab23/Grades.html HTTP/1.1" 200 768
